File,Probe,Slope (mK/s),SAR (W/kg)
PatientLeft_6probes_AbdomenLandmark_R1,244A,0.2749209066885188,1.1508189153981396
PatientLeft_6probes_AbdomenLandmark_R1,244B,0.4588752000595704,1.9208515874493617
PatientLeft_6probes_AbdomenLandmark_R1,245B,0.2801019838463536,1.1725069043808363
PatientLeft_6probes_AbdomenLandmark_R1,245C,0.41019466259727283,1.7170748576321841
PatientLeft_6probes_ChestLandmark_R1,244A,0.36681430751478483,1.5354846912568894
PatientLeft_6probes_ChestLandmark_R1,244B,0.3414002307663804,1.429101365988068
PatientLeft_6probes_ChestLandmark_R1,245B,0.4090184985298102,1.7121514348457854
PatientLeft_6probes_ChestLandmark_R1,245C,0.25058622101466854,1.0489539211674026
PatientLeft_6probes_HeadLandmark_R1,244A,0.061443406409341414,0.25720209922950316
PatientLeft_6probes_HeadLandmark_R1,244B,0.22731231622442002,0.9515293557154222
PatientLeft_6probes_HeadLandmark_R1,245B,-0.005061971935764208,-0.021189414523108973
PatientLeft_6probes_HeadLandmark_R1,245C,0.2163658019131435,0.9057072468084186
PatientRight_6probes_AbdomenLandmark_R1,244A,0.45917296311458716,1.922098023597662
PatientRight_6probes_AbdomenLandmark_R1,244B,0.7189972829121426,3.009722626270229
PatientRight_6probes_AbdomenLandmark_R1,245B,0.3091338817135925,1.2940344288530983
PatientRight_6probes_AbdomenLandmark_R1,245C,0.6435739010682651,2.6940003498717577
PatientRight_6probes_ChestLandmark_R1,244A,0.2382588305355687,0.9973514646218906
PatientRight_6probes_ChestLandmark_R1,244B,0.7255071277031634,3.036972836565442
PatientRight_6probes_ChestLandmark_R1,245B,0.24057393828863158,1.0070425056762118
PatientRight_6probes_ChestLandmark_R1,245C,0.7040867979305979,2.947307336137483
PatientRight_6probes_HeadLandmark_R1,244A,0.2689619235493668,1.1258746119776495
PatientRight_6probes_HeadLandmark_R1,244B,-0.02295008746792379,-0.09606906614072899
PatientRight_6probes_HeadLandmark_R1,245B,0.31245766181559853,1.3079477723600954
PatientRight_6probes_HeadLandmark_R1,245C,-0.057393828860634176,-0.24025056761061467
